public_id,price_amd,price_per_sqm_amd,total_area,living_area,kitchen_area,rooms,bathrooms,ceiling_height,floor,balcony_count,has_loggia,has_parking,has_storage,condition,heating,ownership_docs,lat,lon,building_type,construction_year,total_floors,has_elevator,seismic_retrofit,district_slug
Y21-B55946E7,43830600,561931,78,,,2,1,,5,1,,,,GOOD,,,,,STONE,,6,true,,arabkir
Y21-25BF4A2A,32747000,584768,56,,,2,1,,1,1,,,,GOOD,,,,,STONE,,5,false,,arabkir
Y21-36155844,60456000,623258,97,,,4,1,,1,1,,,,EURO_RENOVATION,,,,,STONE,,4,false,,arabkir
Y21-20636C40,30228000,549600,55,,,2,1,,3,1,,,,NEEDS_REPAIR,,,,,NEW_BUILD,,12,true,,arabkir
Y21-1169A609,50380000,621975,81,,,3,1,,9,1,,,,EURO_RENOVATION,,,,,PANEL,,14,true,,arabkir
Y21-9B92D2FA,38288800,580133,66,,,2,1,,3,0,,,,GOOD,,,,,STONE,,5,false,,arabkir
Y21-1DCE0ED5,68013000,666794,102,,,4,1,,9,0,,,,EURO_RENOVATION,,,,,NEW_BUILD,,10,true,,arabkir
Y21-D5F0A7D3,118393000,1183930,100,,,3,2,,8,1,,,,EURO_RENOVATION,,,,,NEW_BUILD,,16,true,,arabkir
Y21-07A3A432,45342000,566775,80,,,3,1,,6,1,,,,EURO_RENOVATION,,,,,PANEL,,14,true,,arabkir
Y21-D154306D,89676400,879180,102,,,3,1,,8,1,,,,EURO_RENOVATION,,,,,NEW_BUILD,,18,true,,arabkir
Y21-7EEFC132,73554800,565806,130,,,4,1,,2,0,,,,NEEDS_REPAIR,,,,,STONE,,5,false,,arabkir
Y21-711A3E21,80608000,806080,100,,,4,2,,7,2,,,,EURO_RENOVATION,,,,,NEW_BUILD,,16,true,,arabkir
Y21-5EEE910C,40304000,516718,78,,,2,1,,5,1,,,,GOOD,,,,,STONE,,5,false,,arabkir
Y21-E5D80ADF,85646000,713717,120,,,4,2,,3,1,,,,EURO_RENOVATION,,,,,STONE,,4,false,,arabkir
Y21-170D57F5,38792600,596809,65,,,2,1,,9,1,,,,EURO_RENOVATION,,,,,PANEL,,9,true,,arabkir
Y21-C751639E,62975000,684511,92,,,4,2,,2,1,,,,EURO_RENOVATION,,,,,NEW_BUILD,,10,true,,arabkir
Y21-6BA494EA,39800200,560566,71,,,3,1,,4,0,,,,GOOD,,,,,STONE,,4,false,,arabkir
Y21-A745A7D4,31739400,622341,51,,,2,1,,7,0,,,,NEEDS_REPAIR,,,,,STONE,,7,true,,arabkir
Y21-BFBCC30B,32243200,806080,40,,,1,1,,4,1,,,,EURO_RENOVATION,,,,,NEW_BUILD,,4,false,,arabkir
Y21-6BFE08D3,39800200,621878,64,,,3,1,,10,1,,,,EURO_RENOVATION,,,,,NEW_BUILD,,10,true,,arabkir
Y21-8505676B,43326800,760119,57,,,2,1,,7,1,,,,EURO_RENOVATION,,,,,NEW_BUILD,,8,true,,arabkir
Y21-A03EE54D,35266000,335867,105,,,4,2,,5,2,,,,GOOD,,,,,STONE,,5,false,,arabkir
Y21-A4293CF9,37785000,393594,96,,,3,2,,3,1,,,,EURO_RENOVATION,,,,,PANEL,,9,true,,arabkir
Y21-61E82BED,17633000,271277,65,,,3,1,,3,0,,,,EURO_RENOVATION,,,,,STONE,,3,false,,arabkir
Y21-2519B8D3,68013000,1015119,67,,,3,2,,3,1,,,,EURO_RENOVATION,,,,,NEW_BUILD,,5,false,,arabkir
Y21-9FB2A2B8,59952200,413463,145,,,4,2,,5,2,,,,EURO_RENOVATION,,,,,STONE,,5,false,,arabkir
Y21-668AF8F9,59952200,413463,145,,,4,2,,5,2,,,,EURO_RENOVATION,,,,,STONE,,5,false,,arabkir
Y21-A03F0EE4,59952200,413463,145,,,4,2,,5,2,,,,EURO_RENOVATION,,,,,STONE,,5,false,,arabkir
Y21-1AAF4009,57937000,362106,160,,,4,3,,1,2,,,,EURO_RENOVATION,,,,,STONE,,5,false,,arabkir
Y21-0F34DEC1,59952200,413463,145,,,4,2,,5,2,,,,EURO_RENOVATION,,,,,STONE,,5,false,,arabkir
Y21-E8D99C4F,36777400,334340,110,,,4,1,,14,1,,,,EURO_RENOVATION,,,,,PANEL,,14,true,,arabkir
Y21-CBCDA721,37905912,430749,88,,,3,1,,5,2,,,,GOOD,,,,,PANEL,,12,true,,arabkir
Y21-69E404C1,49372400,503800,98,,,3,1,,2,1,,,,GOOD,,,,,STONE,,6,true,,arabkir
Y21-EE4BB85A,16121600,520052,31,,,1,1,,1,0,,,,EURO_RENOVATION,,,,,STONE,,5,false,,arabkir
Y21-BFC3DA73,38792600,484908,80,,,3,1,,12,1,,,,GOOD,,,,,PANEL,,14,true,,arabkir
Y21-46C6F003,70532000,750340,94,,,4,1,,3,0,,,,NEEDS_REPAIR,,,,,STONE,,5,false,,arabkir
Y21-4D739BBB,26197600,623752,42,,,1,1,,4,1,,,,EURO_RENOVATION,,,,,STONE,,5,false,,arabkir
Y21-0DAD58D5,67005400,736323,91,,,4,2,,10,1,,,,EURO_RENOVATION,,,,,NEW_BUILD,,12,true,,arabkir
Y21-5CE1A270,15114000,397737,38,,,2,1,,2,1,,,,GOOD,,,,,STONE,,5,false,,arabkir
Y21-678E48B2,68013000,819434,83,,,3,1,,10,1,,,,NEEDS_REPAIR,,,,,NEW_BUILD,,11,true,,arabkir
Y21-FDE4787D,59952200,413463,145,,,5,2,,5,2,,,,EURO_RENOVATION,,,,,STONE,,5,false,,arabkir
Y21-DE6617E9,59952200,413463,145,,,5,2,,5,2,,,,EURO_RENOVATION,,,,,STONE,,5,false,,arabkir
Y21-C0BF1101,90684000,755700,120,,,4,2,,3,2,,,,EURO_RENOVATION,,,,,NEW_BUILD,,8,true,,arabkir
Y21-8C253C90,40304000,937302,43,,,2,1,,1,0,,,,EURO_RENOVATION,,,,,STONE,,5,false,,arabkir
Y21-93E27479,37785000,385561,98,,,3,1,,11,1,,,,NEEDS_REPAIR,,,,,PANEL,,14,true,,arabkir
Y21-5ADDF646,34762200,511209,68,,,2,1,,5,0,,,,GOOD,,,,,PANEL,,9,true,,arabkir
Y21-00F80ACB,44334400,554180,80,,,3,1,,14,1,,,,GOOD,,,,,PANEL,,16,true,,arabkir
Y21-4E93CB45,41059700,540259,76,,,3,1,,4,1,,,,EURO_RENOVATION,,,,,STONE,,5,false,,arabkir
Y21-2CB0A10C,46349600,410173,113,,,4,1,,8,1,,,,GOOD,,,,,PANEL,,13,true,,arabkir
Y21-B2DA1414,80608000,732800,110,,,4,2,,4,1,,,,EURO_RENOVATION,,,,,STONE,,5,false,,arabkir
Y21-FC9E90F0,112347400,913393,123,,,4,1,,8,0,,,,EURO_RENOVATION,,,,,NEW_BUILD,,13,true,,arabkir
Y21-555B30F7,75570000,755700,100,,,3,2,,10,2,,,,EURO_RENOVATION,,,,,NEW_BUILD,,11,true,,arabkir
Y21-688A00CF,24686200,411437,60,,,2,1,,8,0,,,,NEEDS_REPAIR,,,,,PANEL,,9,true,,arabkir
Y21-0E7F7A23,28212800,762508,37,,,1,1,,3,2,,,,GOOD,,,,,STONE,,5,false,,arabkir
Y21-4299D948,26197600,523952,50,,,1,1,,11,1,,,,EURO_RENOVATION,,,,,PANEL,,16,true,,arabkir
Y21-21E8AB0B,37734620,877549,43,,,2,1,,3,1,,,,EURO_RENOVATION,,,,,STONE,,5,false,,arabkir
Y21-846C6975,40304000,694897,58,,,2,1,,2,1,,,,GOOD,,,,,STONE,,5,false,,arabkir
Y21-2E45CF14,25693800,570973,45,,,1,1,,4,1,,,,GOOD,,,,,STONE,,5,false,,arabkir
